EXPNUM,NOBJECTS,PFW_ATTEMPT_ID,EXPTIME,NITE
637036,19514.00000000,2508891,300.00000000,20170403
637037,18751.00000000,2506899,300.00000000,20170403
637038,19495.00000000,2506900,300.00000000,20170403
637039,17208.00000000,2507888,300.00000000,20170403
637040,17441.00000000,2508892,300.00000000,20170403
637041,17469.00000000,2507889,300.00000000,20170403
637042,17174.00000000,2507890,300.00000000,20170403
637043,17068.00000000,2507891,300.00000000,20170403
637044,18041.00000000,2507892,300.00000000,20170403
637045,18350.00000000,2508893,300.00000000,20170403
637046,18494.00000000,2507893,300.00000000,20170403
637047,18454.00000000,2508894,300.00000000,20170403
637048,18399.00000000,2508895,300.00000000,20170403
637049,18159.00000000,2508896,300.00000000,20170403
637050,18451.00000000,2508897,300.00000000,20170403
645172,64468.00000000,2508898,400.00000000,20170429
645173,64547.00000000,2508899,400.00000000,20170429
645174,66203.00000000,2508900,400.00000000,20170429
645175,67788.00000000,2508901,400.00000000,20170429
645176,60142.00000000,2506901,400.00000000,20170429
645177,59972.00000000,2506902,400.00000000,20170429
645178,58833.00000000,2507894,400.00000000,20170429
645179,60810.00000000,2506903,400.00000000,20170429
645196,64814.00000000,2506904,400.00000000,20170429
645197,63588.00000000,2508902,400.00000000,20170429
645198,64750.00000000,2508903,400.00000000,20170429
645199,66020.00000000,2507895,400.00000000,20170429
645200,78543.00000000,2508904,400.00000000,20170429
645201,79707.00000000,2506905,400.00000000,20170429
645202,77710.00000000,2507896,400.00000000,20170429
645203,78120.00000000,2508905,400.00000000,20170429
645212,70806.00000000,2508906,400.00000000,20170429
645213,69854.00000000,2508907,400.00000000,20170429
645633,117900.00000000,2506906,400.00000000,20170430
645634,119093.00000000,2508908,400.00000000,20170430
645635,119755.00000000,2506907,400.00000000,20170430
645636,239939.00000000,2508909,400.00000000,20170430
645637,248290.00000000,2507897,400.00000000,20170430
645638,245961.00000000,2507898,400.00000000,20170430
645639,149316.00000000,2506908,400.00000000,20170430
645640,147738.00000000,2506909,400.00000000,20170430
645641,149028.00000000,2507899,400.00000000,20170430
645642,106759.00000000,2506910,400.00000000,20170430
645643,103432.00000000,2508910,400.00000000,20170430
645644,100361.00000000,2506911,400.00000000,20170430
645645,185516.00000000,2508911,400.00000000,20170430
645646,197496.00000000,2507900,400.00000000,20170430
645647,207168.00000000,2508912,400.00000000,20170430
656754,13151.00000000,2508913,200.00000000,20170628
656755,13432.00000000,2508914,200.00000000,20170628
656756,13679.00000000,2508915,200.00000000,20170628
656757,13242.00000000,2507901,200.00000000,20170628
656758,13341.00000000,2506912,200.00000000,20170628
656759,13208.00000000,2508916,200.00000000,20170628
656760,12996.00000000,2507902,200.00000000,20170628
656761,13165.00000000,2507903,200.00000000,20170628
656762,13464.00000000,2507904,200.00000000,20170628
656763,13033.00000000,2508917,200.00000000,20170628
656764,13356.00000000,2507905,200.00000000,20170628
656765,13409.00000000,2507906,200.00000000,20170628
656766,13407.00000000,2507907,200.00000000,20170628
656767,13345.00000000,2506913,200.00000000,20170628
656768,13321.00000000,2506914,200.00000000,20170628
656769,13453.00000000,2507908,200.00000000,20170628
